"","alpha","srmse","rsquared","mean_features","sd_features"
"1",0,0.995079353002602,0.000296091624345629,2647,0
"2",0.2,0.976364871446198,0.037545403553982,42.3,51.7280280784884
"3",0.4,0.988123650923687,0.0142233009706786,18.4,17.1282742206498
"4",0.6,0.997264546801729,-0.00409942800292273,37.7,29.1129982424804
"5",0.8,0.975355858617129,0.0395336504945234,15.9,8.14384566542259
"6",1,0.976364242255824,0.0375466440061745,12.9,5.52670285472672
