Genes
rcc1l
cacnb3
ube2q1
tuft1
f2rl3
sez6l
bcar3
cdkn2a
sgsm3
chpt1
secisbp2l
med22
trmu
rassf7
mab21l2
tph1
tjp3
lgr5
bche
mc1r
rbmx2
tpst2
clic5
mospd3
nr1h4
drd5
esm1
tsg101
ache
rbl1
pstpip1
fkbpl
tshb
slc29a2
cysltr2
csrp3
podxl2
lrp5l
ccdc6
chst12
mfge8
zdhhc4
agbl2
cenpc
runx1t1
hesx1
ccdc92
sugp2
camk1g
znf609
entr1
fkbp11
wdr59
armc6
cdk10
lrpprc
palb2
nisch
gosr1
zfp37
gsdme
heyl
plk2
irf2
fam118a
hnrnpl
dbf4
vps45
znf587
lmo7
klhl26
clcc1
tfdp1
camta1
lrfn4
igsf1
bcan
dhx57
rgs14
znf395
ace
inhbc
mfap3
phb2
ribc2
cdk5rap2
kars1
neurog3
hspg2
nsd1
csnk1g2
ackr3
mcm7
oaz3
prelid3a
psg7
bpifa1
rbbp9
zbtb7b
igfbp6
dnajc17
klhl5
eif2b4
trim3
rnf167
depdc1
nup155
impact
racgap1
cd19
fn3krp
vnn1
ogfod2
pip4k2b
rarg
pde9a
f8
acvrl1
htr2a
ret
gpr153
riok3
relb
pmp2
phlpp2
ttc31
pzp
mfsd10
itm2b
srrt
adra2c
znf79
nadk
eml3
skap2
gstm4
insl4
znf184
fstl4
cerk
prkcz
akr7a2
cluh
psmd3
eloa
csf2rb
fabp4
rln1
cldn11
hapln2
ccdc130
mettl8
cuta
tmem115
trio
phka2
gale
p2ry4
c1ql1
cep41
camk1d
crot
fry
lrch4
ssh1
ttc12
mrc2
lgi2
ccdc71
ncdn
stk17a
dido1
phldb1
tgds
slc5a5
slc1a6
hnrnpf
clu
sema4f
znf493
six5
mgp
jrk
msmb
btg2
wnt11
pycard
spice1
lama1
tigd6
calb1
wrap53
kcnj13
col3a1
rgs17
tgm2
pcnt
rxrg
slc6a12
hrc
cldn14
ahnak
ap1s1
atp6v0e2
ascl1
trim23
zdhhc18
pik3ip1
nsun5
nudt6
pkd2l2
dcaf11
nts
il5
commd10
baz2a
hnrnpk
pias2
ssh3
spata5l1
cbx5
abtb2
rab3b
s1pr4
otof
mag
brsk2
cenpb
tmem45a
kiaa0586
shank1
klhl22
gdnf
pard6a
slc28a2
npm3
stab1
znf574
klhdc10
mmachc
tmem80
dgkd
abcd4
ccl7
wdr4
hoxb1
ogfrl1
nprl2
ncapd3
cd36
dpp8
pnma1
nckipsd
pax9
gpm6b
yod1
cluap1
elmo2
xylt2
atp4b
spag6
vkorc1
unc119
atxn10
tbc1d19
mlph
man2a1
cryba4
aktip
cd79b
tnpo2
tyrobp
slc11a1
man1a1
zbtb48
epha7
alpp
cyp3a4
nrbp1
tubg1
chst3
lrrc32
slc12a9
dnajc13
piezo2
nol12
lztr1
pex16
scgn
setd6
psmb10
tfap2a
copz1
orc6
elavl2
gpr15
shb
top2a
slc35g2
epb41l4b
gga2
dclk2
cnn3
aacs
ahi1
gpa33
map3k10
tpp2
scamp2
kmt2a
ppa2
aprt
klf6
mmp17
ralgds
adamts1
pogz
tut1
itpr3
prkd1
rrh
cldn6
oxsm
chd1l
fadd
arl15
galnt14
msh2
scn3b
prom1
tnfrsf25
aldh1a1
rabepk
cnpy4
ahcyl2
ccr7
tgm5
asb1
elavl3
artn
las1l
pdcd1
slc25a38
erbin
fezf2
cdh22
apom
ubap2
eif2b2
g6pc1
fbxl14
fxr2
cdk7
ccdc87
arid5a
cops7b
amelx
ephb3
myh1
pcsk7
iffo1
hyal4
ptk6
ppm1a
rnf114
suv39h2
rars2
pus7
gjb1
rrp8
pax5
zmiz2
lamb4
lrp5
vamp3
slc4a10
fam20b
mre11
ptprd
ifng
trafd1
znf287
apobec3c
lamc1
ppp1r13l
lrrc14
kcnc1
rpl39l
ephb6
eif3f
tfap4
slc7a4
slc30a6
lime1
nup210
prrc2a
aspscr1
prdx4
chst4
pkp2
lmcd1
ptprf
il4r
orai3
rassf1
cdk5rap3
tmc6
adcyap1r1
znf440
cdsn
fzd10
creb1
ets2
slc9a3r1
cdkn2d
fads3
tp53bp2
herc2
crmp1
plk3
spry2
maml3
ahr
dhfr
ubqln4
synpo
npepl1
mtarc2
cd8a
adrb3
rab11fip3
chrdl1
tmem177
lfng
nup85
donson
mlst8
pccb
scube2
cryl1
sgsm2
gnat1
brd4
wfdc2
cd7
nbr1
upk1a
traf3ip2
mmp10
krt20
strada
serpinf1
jak3
clpb
ins
rsad1
mageb3
aqp6
cdkn2b
pde6d
bcl2l14
ceacam1
diablo
cdc42ep1
rsrc1
erap1
necab2
iars2
coil
cd2
klkb1
ndrg2
rims3
snx10
etfa
idh1
smu1
rnase1
sh3bp4
magea8
slc34a2
syp
dgat1
prune2
ankh
trim21
cacnb2
dhps
apoc1
stard13
casq1
mrpl34
kcnip1
cst2
tiam2
cd79a
rnf25
jam3
mep1a
abca2
tagln
gata4
myh11
mybpc3
mtmr10
myo7a
cp
alpg
ubtf
ppm1f
nppb
coro1c
clcf1
naglu
creld1
ankef1
actl6b
emcn
eif3i
bcl9
prkd3
kat2a
ccn5
spsb3
pkn2
selenow
gsdmb
lsm2
pts
plekha1
cd6
lmnb1
h2bc21
smg5
slc13a4
rprm
abcg2
tnni2
gpr6
cyp24a1
cpsf4
evl
hcrtr1
ckm
yes1
ceacam5
sfmbt1
iqsec2
camkk2
ctsk
ormdl2
mapk4
hbp1
foxm1
mprip
arhgef18
foxc2
inhbe
dip2a
spaca1
cdh17
ddx58
sox2
ndufb6
itpa
cbs
rab31
safb2
syncrip
zzef1
nphs1
dusp4
idh3a
snap23
pax7
asgr2
psmf1
oca2
igfbp1
med6
znf652
ccnt1
nav2
dram1
crcp
phox2a
tsfm
birc7
aen
pank2
sigmar1
folr3
srek1ip1
dok4
flad1
ltb
rbm14
ube2d3
rnf13
serbp1
arih2
exosc2
sf3a3
h1_0
ddx41
c2cd2l
coq6
pcnx2
mcm3ap
creg1
nnmt
cyp39a1
ppme1
pcdh12
rgs6
wdtc1
slc12a3
lama2
hoxc10
akap8l
zbtb40
p2ry14
dcbld2
map3k9
atg4a
snrnp70
nipal2
nnat
e4f1
qpctl
adam21
gcm1
rtn2
gage1
uts2
sharpin
vgll3
mast2
nrsn2
slc13a2
mfng
araf
becn1
xpnpep2
ftcd
agbl5
ipo7
crygd
slc36a1
slc4a2
ca6
bcl7a
dop1b
adamts8
tonsl
nup43
dgkq
mtx1
thoc2
nkx6_1
ocel1
wdr74
grpel1
pdia6
st8sia4
rfx2
ppp4r2
chaf1a
epb41l3
tk1
zcchc14
lta
prex2
gabbr2
neu3
snca
higd2a
utp20
oprk1
dnajc1
pitx2
cryba1
sema7a
mrpl52
lect2
lrp4
pgghg
srr
vps26c
syn2
wnt16
rad51
atp12a
sp100
exoc7
efna1
acvr2a
kdm5c
slc16a8
insl5
man2b2
man1b1
gtf2ird1
trappc2
gpatch3
cog5
ankrd7
klf8
b3gnt3
tp73
atp13a2
fubp1
peg3
tmem51
nenf
st18
blmh
ndrg4
pms1
snapc4
znf76
avil
sox21
pnliprp2
guf1
ap1g1
fam3a
gng13
repin1
aimp1
aloxe3
uxs1
krt32
fance
rasip1
dusp13
ucp3
fanci
ppp1r16b
mid2
btbd1
nat10
h2ac6
wdr6
irgq
man2a2
pkig
cngb1
chuk
lmo2
cltb
abcd3
ca3
ascl2
bnip3l
peli1
cntnap1
cavin2
akr1b1
ssr3
tsnax
kdm5d
ncf2
dlk2
psmb2
itprid2
efcab1
slc8b1
pmm2
slc17a5
col14a1
sae1
papolb
sntb2
sap30
dock9
man1c1
isl1
baiap2
map3k19
cyp4f2
vamp1
lsm14b
nxph3
znf669
trpm3
sc5d
tbc1d2
ctnna3
mbd4
kcnh6
krt75
ubash3a
dync1h1
ezh2
nup214
cstf2
tmcc1
st6galnac5
dffa
plxnc1
or11a1
taf1c
h2bc3
cnnm3
oxa1l
bace2
arl4a
ampd3
ifna10
ccn6
chmp7
neurl1
krt14
acp6
maff
nr2c2
nosip
fkbp14
icmt
slc5a4
map4k4
mrpl42
trpc5
ufc1
magix
dennd4c
stard8
cacna1c
gabarapl2
btg3
ring1
sbf1
tcof1
baiap2l2
sec61a1
terf2ip
il15
ermp1
sln
dctn2
timp4
serpinb5
prkag2
scin
fzd1
hapln1
cpne7
slc16a5
sh2d3a
ssr4
vhl
zrsr2
sox3
fxyd1
kdelr3
vac14
birc3
def8
eps8
ankrd36
rab36
kctd13
il10
