Genes,Diff_RMSE
rcc1l,0.06383763155056787
cacnb3,0.06238702514102723
ube2q1,0.059450331740031226
tuft1,0.056745442110126554
f2rl3,0.05322272503342229
sez6l,0.051516506576669285
bcar3,0.050382858493534854
cdkn2a,0.04953553176296299
sgsm3,0.049439140299757045
chpt1,0.048371630731405046
