Genes,Diff_RMSE
hook1,4.3103940788991046e-5
ogt,4.253488197381028e-5
ogdhl,4.208520768822499e-5
ucp1,3.9850472332569886e-5
prkacb,2.4122215267707858e-5
krt85,2.2339832813966787e-5
slc35a2,2.0775527649119496e-5
cd40,2.0898554325965435e-6
stat6,1.3951290199765154e-6
gdpd2,4.3686710393675554e-7
