Genes,Diff_RMSE
rfk,0.07798406730397855
s1pr4,0.07592971724625874
tacc2,0.0704229037914832
uba5,0.0630877901891943
engase,0.06140973763039825
ggt5,0.06139828072362419
sbno1,0.059301128598836406
tnpo1,0.05411292853417682
dusp5,0.052831456895738316
pign,0.05010372717837208
