Genes
rfk
s1pr4
tacc2
uba5
engase
ggt5
sbno1
tnpo1
dusp5
pign
recql
spata2
h1_6
tradd
coro2a
znf652
gpr137b
hsd17b1
gbp2
mxra7
snx13
fancg
hs3st3a1
cd86
ing1
atg3
znf557
gabrr2
kcnk5
map2k7
fgl2
actr1b
c3ar1
taf2
ncr1
gbp1
znf770
cfap94
pla2g7
rad23b
scarb2
dlec1
rnf13
fut4
znf592
mnat1
itih4
pmepa1
cers2
tnfsf15
vps41
shtn1
ncr3
prpf4b
ddx60
mthfr
prmt2
pdia3
tmem177
lgals8
bsdc1
ifit1
mmp26
duox1
agfg2
dus1l
cst7
abl2
samsn1
kazn
agps
pde4b
rhobtb1
cbx7
rasgrp2
fcer2
eef2
slc30a5
pdzrn3
ifi16
tlr7
slc35e1
eya1
creg1
cstf3
rab11fip4
col19a1
p4htm
tmsb4y
psmd14
hpcal4
ssr3
kif20a
smc3
vav1
ttc38
zmiz2
brd1
mrpl57
sptlc1
lcmt2
ppp2cb
csnk1e
lyz
fastk
uba2
tpk1
cog4
zbtb40
eno3
sash1
bcor
eml4
znf573
ppp1r13b
usp49
srbd1
znf394
rln2
ralgds
acsbg1
hmbox1
psmc4
dram1
ube2k
eny2
nubp2
mta1
rsad2
ifit2
ppig
kcnmb1
ddx51
rock1
ankef1
ripk2
vpreb3
lypla1
ccr2
ap1g2
acot13
cntrl
dmxl2
fkbp14
hps4
stat2
pank2
prkacb
pla2g2d
dctd
nr1d2
colq
cd19
galc
sirt5
asb13
stn1
ppp1r10
trim44
chml
tnfsf10
klhl26
map4k1
zdhhc14
htr5a
bad
wars1
avl9
cdkn1c
plec
mef2d
lypd3
trim22
kctd20
serinc5
pou2af1
rcbtb2
dnaja1
srsf3
cd7
herc5
mfsd1
dhx30
akr1b1
gm2a
znf682
gamt
bcas4
vps13c
aim2
nipsnap2
ikzf5
celsr3
ncoa3
fam53b
slc5a3
clec7a
mobp
tgm3
hla_dmb
ciz1
kat6a
phf11
dffa
arhgap45
slamf8
chrna5
ifi44
gabbr2
dnajc10
klf12
osbpl11
tecr
tymp
adora3
itpr3
atp6v1d
zap70
snw1
laptm5
pnlip
rgs14
blzf1
igf2bp3
tubgcp3
strn
casp1
itprid2
muc1
med22
ehmt2
usp5
aqp3
il10ra
srp54
xylt2
ceacam1
map4k4
p2ry14
arpc3
ephb6
socs1
pih1d1
arhgef38
def8
cd84
irf1
oas2
fam110d
vps50
ern1
cd36
yme1l1
plekhb1
cdc42bpa
tbk1
hoxa6
sema4f
ttc12
mkln1
il4r
rpap3
gng3
psmd3
cxcl10
nup98
wdr73
ankzf1
irs4
tbpl1
pid1
phyh
kcnj1
dok5
spata5l1
mocos
baz1a
ldlr
pnma8a
commd10
pten
osbpl7
calcb
psma5
polm
tnrc6b
uggt1
qprt
bid
dek
piezo1
bola1
polrmt
xrcc2
tmem115
prkg1
ribc2
ppm1a
tpd52l1
ptpn2
jak2
hic1
ubash3a
magix
stx11
sox13
tmx4
h1_0
mchr1
cryzl1
extl3
gpr37
ly9
blm
ostm1
eif6
tdrd1
cdx4
mx1
hectd3
stard5
dvl2
hnrnpf
mtm1
pax2
morc3
rps6kb2
actg2
neurog2
stat1
mapk8ip3
limd1
foxd3
fyb1
cryba4
rab22a
aff1
kcnk13
gbx2
herc4
znf767p
dse
cndp2
ptcd2
nabp1
crip2
lmo7
alg8
znf75d
tmcc2
hsf2
dusp4
uchl3
ap3s1
eif5b
hoxa11
ipo8
atxn2
dynlt1
slc35a1
fbxo4
mtrex
nfe2l2
znf37a
ints12
pex16
orc2
zbtb20
lins1
kynu
pxmp4
tnk1
gdi2
tdp1
trib2
mtx1
plekha1
usp20
kcnq4
ifi44l
krt9
npc2
hsph1
tnfaip6
bmpr2
slc7a7
ssx2ip
ryr1
brinp2
rfxank
gchfr
sox21
efcab2
tex14
mafb
prdm10
larp7
mmp1
smg5
ptch1
ube2l6
fam111a
cenpn
hmgb3
pou3f2
kptn
sdc3
nod2
ube2d3
lars2
shank2
hsp90b1
slc25a42
fxyd7
eif3g
slc38a1
pef1
phf14
prpf31
zmat3
prmt3
fgfr4
akap1
psmd6
clec5a
ercc8
pip5k1a
bbs7
epb41l3
tra2b
wdr5b
gorasp1
ube2b
galnt6
cd72
cd33
rorc
ms4a6a
nsun3
akr1b10
dclk1
ube2l3
yod1
arhgap32
itm2b
fcar
csf1
cd164
dr1
erich1
strn4
aldh1a1
nsun5
mrpl49
ebag9
josd1
tfam
dnai1
enpp4
ascc3
nr2c2
trappc8
ifitm3
kcnj2
clk4
itpkb
ptdss1
peli1
nfya
tiparp
rassf1
wasf2
shmt1
lilrb2
adcy10
ggnbp2
slc39a8
adpgk
canx
znf395
mat2b
hibch
nup210
rnf144a
shisa6
mindy1
slc38a10
nsd3
pttg2
aggf1
map4k2
selenow
hsd17b4
ctnna3
eml3
ppp1r3c
dhrs9
senp6
ppp6r2
fggy
chaf1b
krt24
gjb3
bmp1
serpinb6
pou6f2
taf1a
cryab
trim13
birc3
anxa7
chrdl1
ikzf1
gipc1
mark2
cd46
hmgn5
itfg1
tle5
stx17
hao1
btaf1
slc20a2
xab2
rassf7
hspa5
slc33a1
serpinh1
lonp1
slc35c1
spats2
lrp12
tspyl2
acacb
lrch3
six2
il15
myof
baiap2
pgghg
gpn3
rnf103
ephb1
wdr48
trim5
klhl5
fut3
tmem186
ncald
dym
agtpbp1
gtf2b
flt3lg
prrg1
cntnap1
psmd7
cldn9
ift88
trpm4
rab1a
ikzf3
dera
preb
ube4a
znf362
pi4ka
gata3
manf
coq3
hsd17b11
ddx41
ifih1
tdrd7
pcdh17
chmp2b
tcta
slc25a24
gimap4
plekhf2
bicd2
nprl2
sptbn5
kcnv1
yrdc
fnta
uros
creb1
trim3
aldh3a2
mtap
flii
mtmr11
lta4h
csnk2a2
ulk1
fam193b
cep162
cep135
cep63
syne1
acsl3
acot9
slc44a1
gtf2h4
psmb10
cyria
erap2
armc8
atp6v0e2
apip
cmtm6
zbtb11
ckm
trpv2
polr2c
cd79b
map1lc3b
slc31a2
sirpg
pdxk
rnf32
inpp5b
scpep1
smc5
cpsf1
asap1
znf692
mrps27
hspa4
klf4
ptov1
kat2a
actn3
kctd2
bnip2
fen1
sgsm3
safb2
minpp1
hprt1
nxf1
neto2
asah1
ift57
vamp5
thbs1
klhl28
mnt
tonsl
ucp1
tmprss2
a4gnt
rpgrip1l
cnot6
znf589
gtf2e2
reep1
stard3
pdpk1
kcnn4
tbcd
ankmy1
cacna2d2
tmem59
vps52
vrk2
cxxc4
cnnm3
dhx9
acp5
klhl12
supv3l1
pdcd6ip
fam234b
lhfpl2
fcer1g
znf14
faf1
ceacam8
bin1
lime1
ap1s2
srp19
tex264
abhd3
prkdc
vcpip1
fbxo2
scamp1
zdhhc18
nfatc4
g6pc3
bard1
zmynd8
gpr1
tgfb3
ppme1
idh1
snx10
lin7b
camkk2
adora2b
aspscr1
fkbp5
nusap1
sec23ip
ada
pdlim4
gpr85
fez2
e2f3
colgalt1
park7
btnl8
pde9a
capn15
ptpn7
pstpip2
cryaa
orc6
necap1
snrpb2
fxr1
cry1
bin3
etv7
agpat1
atp2b4
abtb2
gga1
kpnb1
insig2
nudt9
popdc2
rbm7
slc12a7
gmppa
c1d
alkbh4
kdm5d
stk38
eif4enif1
b3galt4
limk1
zdhhc17
eif1ay
cybb
cyfip2
mlec
rfx2
znf562
ston1
slc24a1
echdc2
arl4c
pyy
ldhc
neo1
tmem134
nde1
lrrfip2
kiaa0100
znf324
cd58
psmb5
samd9
chn2
nfu1
men1
pold3
lipt1
mapk9
crlf1
arhgap4
skp1
ddx54
upf3b
mia2
gas6
gnl3l
birc2
sbf1
mrps16
tom1l2
itga4
piga
gh1
prdx3
penk
ubtd1
slc8b1
adra2b
pax5
cradd
rybp
gja8
ltbp4
snrpa
slc10a1
capn5
spcs3
vps13b
tmem87a
cidea
timm22
srek1ip1
gstm4
prr5l
cebpa
mbd4
tmem160
cfhr5
cep85
cutc
eid1
hdac1
galr2
irag2
irak3
rb1cc1
nol10
srd5a2
fhl2
taf6l
rad52
rad51
zcwpw1
hexb
gsdmb
morf4l2
rnaset2
cyp2j2
ankmy2
pstpip1
phyhip
fkbp11
znf330
rnf139
dhx32
pigh
gemin6
zbtb17
h4c4
itgb1bp1
sptbn1
zmym1
ghitm
ceacam6
rab33b
mtg1
ca5b
cntn2
akap7
mapk7
supt20h
stat6
gpa33
sh2d2a
st3gal1
dxo
gpaa1
mthfd2
cyp7a1
ruvbl1
atad5
crygc
pip4k2b
pcmt1
dbn1
tns2
angel2
p2ry6
wdr19
b3galt1
nrip1
rasl11b
cd6
thsd4
tnfrsf12a
cdca4
tnfrsf4
pold1
actl6a
nip7
maff
rabl3
pgap6
adam17
rab11a
sntb1
fev
mmachc
med28
pcgf2
lztr1
mnda
alcam
med6
pygb
rnf44
kdm6a
fa2h
mtmr9
mmp17
pik3c3
ccp110
afm
