Genes,Diff_RMSE
rpe65,3.927679860238342e-5
ckmt2,2.885384463169327e-5
scn2a,2.8703409245656175e-5
mmp3,1.940509895581588e-5
fam13c,1.6420164556829597e-5
rras2,1.3553467459459512e-5
nrg1,1.2681751235810168e-5
vezt,6.953407188037275e-6
rpp38,3.5922583913050588e-6
trpc4ap,2.8143825619997287e-6
